aoi_id,region_name,year,latitude,longitude,built_up_area_sqkm,population_density,growth_velocity_pct,infrastructure_index,capital_investment_m_usd,land_use_type,confidence_score,is_synthetic,scenario
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2000,12.961607952560884,77.61431432991874,8.69,501.47,0.0,0.3,27.16,INDUSTRIAL,0.93,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2001,12.961023165046804,77.61391763147479,8.97,504.53,3.15,0.32,28.1,INDUSTRIAL,0.97,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2002,12.960360180607363,77.61318187564277,9.35,508.69,4.3,0.35,29.43,INDUSTRIAL,0.96,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2003,12.961335558843587,77.61389271349438,10.87,523.38,16.22,0.46,34.7,INDUSTRIAL,0.93,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2004,12.961048373992677,77.61330565888402,9.88,514.28,-9.05,0.39,31.28,INDUSTRIAL,0.96,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2005,12.960609383889107,77.61450139871083,9.97,515.2,0.87,0.39,31.58,INDUSTRIAL,0.98,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2006,12.961135607217981,77.6134129037364,13.61,546.41,36.52,0.62,44.41,INDUSTRIAL,0.98,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2007,12.96146828454846,77.61396449856585,13.33,544.56,-2.09,0.6,43.41,INDUSTRIAL,0.92,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2008,12.959896036866011,77.61304504193211,15.62,561.07,17.24,0.72,51.66,INDUSTRIAL,0.96,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2009,12.961213263427195,77.61450812297926,28.35,624.19,81.45,1.0,98.92,INDUSTRIAL,0.92,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2010,12.960412004077085,77.61265499833881,16.65,568.27,-41.29,0.77,55.39,INDUSTRIAL,0.94,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2011,12.960229536861238,77.6133171158661,37.37,656.82,124.51,1.0,133.77,INDUSTRIAL,0.91,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2012,12.960482166264697,77.61456493504382,29.94,632.91,-19.88,1.0,105.18,INDUSTRIAL,0.91,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2013,12.960244094956423,77.6145136656761,22.49,601.63,-24.88,0.99,77.02,INDUSTRIAL,0.92,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2014,12.960838727414792,77.61345589268167,24.18,610.05,7.52,1.0,83.39,INDUSTRIAL,0.97,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2015,12.961476030678039,77.61436527745586,19.43,586.06,-19.64,0.87,65.67,INDUSTRIAL,0.99,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2016,12.961134398120084,77.61280035388725,158.29,845.34,714.47,1.0,643.62,INDUSTRIAL,0.97,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2017,12.960124091061974,77.61282337984922,31.56,641.68,-80.06,1.0,111.61,INDUSTRIAL,0.94,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2018,12.960372185202072,77.61437803469003,27.99,628.05,-11.29,1.0,97.94,INDUSTRIAL,0.92,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2019,12.960722968368744,77.61297880314272,11.9,533.7,-57.48,0.52,38.38,INDUSTRIAL,0.92,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2020,12.961784762205134,77.61418092930658,21.74,599.43,82.65,0.95,74.3,INDUSTRIAL,0.94,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2021,12.961097909080424,77.61338535957323,21.07,596.03,-3.07,0.93,71.82,INDUSTRIAL,0.93,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2022,12.960919881911567,77.61344560784262,39.02,669.14,85.17,1.0,140.94,INDUSTRIAL,0.94,True,LOCAL_DENSE
BNG-CEN-NODE-01,Bengaluru Central Zone 1,2023,12.959882703187379,77.61276173789443,151.75,853.37,288.86,1.0,619.59,INDUSTRIAL,0.91,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2000,12.968978398073773,77.63376586487057,14.18,897.81,0.0,0.18,19.06,RESIDENTIAL,0.91,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2001,12.967590838882526,77.63302010864075,14.56,902.57,2.72,0.2,19.63,RESIDENTIAL,0.96,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2002,12.967849122454805,77.63336640719545,16.06,919.6,10.25,0.27,21.85,RESIDENTIAL,0.98,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2003,12.967248478334149,77.63373964896314,15.75,916.48,-1.92,0.25,21.4,RESIDENTIAL,0.93,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2004,12.969145057145345,77.63362772698842,16.4,923.77,4.14,0.28,22.37,RESIDENTIAL,0.95,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2005,12.968757896208086,77.63336858660018,18.64,946.64,13.65,0.38,25.74,RESIDENTIAL,0.98,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2006,12.96803693885485,77.63463897670562,17.44,934.96,-6.45,0.33,23.93,RESIDENTIAL,0.98,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2007,12.969087933322058,77.63356966724311,20.91,967.94,19.93,0.46,29.2,RESIDENTIAL,0.91,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2008,12.968772390718287,77.63370937068115,25.78,1006.63,23.28,0.61,36.71,COMMERCIAL,0.96,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2009,12.968084857707291,77.63299722581402,28.06,1022.96,8.82,0.67,40.28,COMMERCIAL,0.94,True,LOCAL_DENSE
BNG-CEN-NODE-02,Bengaluru Central Zone 2,2010,12.967429739915426,77.63323918340444,21.97,977.76,-21.71,0.49,30.83,RESIDENTIAL,0.92,True,LOCAL_DENSE
